id,kalimat,sentiment
292,"IHSG Terkoreksi Dalam, Investasi Reksadana Saham Dinilai Menarik untuk Jangka Panjang",NETRAL
293,Bank BRI Fasilitasi Pengelolaan Keuangan Lion Air Group,POSITIF
294,"Rupiah Menguat Tipis Usai BI Tahan Suku Bunga, Pasar Cermati Isu Greenland",NETRAL
295,Dana IPO Emiten Masih Mengendap? Investor Perlu Pertimbangkan Soal Ini,NETRAL
296,"BRI Menanam Targetkan Tanam 1,75 Juta Bibit Pohon Produktif",NETRAL
297,BRI Beri Penghargaan Untuk UMKM di BRILianpreneur 2022,POSITIF
298,"Uang Rp 87 Juta di Rekening Lenyap, Nasabah akan Laporkan BRI ke OJK",NEGATIF
299,Kejagung Tetapkan 4 Tersangka Kasus Kredit BRI,NEGATIF
300,"Kantor BRI di Batam Dirampok, Satpam Pingsan Dipukul Balok Kayu",NEGATIF
301,Mandiri Sekuritas Bantu Investor Pahami Potensi Investasi di Tengah Ketidakpastian,NETRAL
302,"Gelar Coworkfest 2017, Coworking Indonesia Gandeng BRI",NETRAL
303,"Manjakan Pemudik, BRI Sediakan Posko Mudik Asyik Bersama BUMN",POSITIF
304,"Anggota TNI Mendadak Tajir, Duit Rp5.000 Berubah Jadi Rp50 Miliar",POSITIF
305,"5 Ciri Utama Golongan Warga Kelas Bawah, Ada di Kamu?",NEGATIF
306,Pelapor Kasus: Dahlan Iskan Tak Pantas Bilang Tersangka BRI Tak Bersalah,NEGATIF
307,"IHSG Berpeluang Konsolidasi Menguat pada Senin (23/2), Ini Kata Analis",NETRAL
308,Sinar Mas Agro (SMAR) Siapkan Rp 220 Miliar untuk Pelunasan Obligasi Jatuh Tempo,NETRAL
309,"Ultah ke-123, BRI Bagikan Doorprize Senilai Rp 2 M di BRIFFEST 2018",POSITIF
310,Surge (WIFI) dan Pos Properti Kolaborasi Percepat Pemerataan Infrastruktur Digital,NETRAL
311,"Politikus PDIP-Hanura Jadi Komisaris BRI, Istana Tepis Bagi-bagi Jabatan",NEGATIF
312,"Investor Global Wait and See, Mulai Masuk Net Buy Rp654,83 Miliar",NETRAL
313,Daftar Terbaru Nama 28 Bank Perekonomian Rakyat di RI Tutup & Bangkrut,NETRAL
314,Ini Respons Bos Bank BUMN Soal Target RoA 7% dari Prabowo,POSITIF
315,"Sinyal Dividen Jumbo Bluechips, Mampukah Jadi Magnet Investor Asing?",NETRAL
316,Surge (WIFI) Manfaatkan 5.000 Aset Pos Indonesia Percepat Ekspansi Internet Murah,NETRAL
317,"Dukung Ketahanan Pangan, BRI Hadir Bantu Petani Jeruk di Malang",POSITIF
318,Detik-detik Proses Evakuasi Lift Jatuh di Gedung BRI II,NEGATIF
319,BRI Life Investigasi Dugaan Kebocoran Data Nasabah,NEGATIF
320,"Dirut BRI Sunarso: Cari Pinjaman Rp 5 Juta, Banyak Pengusaha Mikro Lari ke Rentenir",NEGATIF
321,Bareskrim Selidiki Dugaan Kebocoran Data 2 Juta Nasabah BRI Life,NEGATIF
322,Bos Danantara Ungkap Valuasi Saham Telkom Tembus Ratusan Triliun,NEGATIF
323,"Sukseskan Ekonomi Biru, BRI Jalin Kerja Sama dengan KKP",POSITIF
324,"Video: Usai Venezuela, Trump Mau Kuasai Greenland, Apa Tujuannya?",NETRAL
325,Dirut BRI Sunarso: Dana Mengendap di Perbankan Capai Rp 1.200 Triliun karena Kredit Lesu,NEGATIF
326,"Saham Big Banks Kompak Melemah, BBCA Pimpin Penurunan pada Penutupan Jumat (27/2)",NETRAL
327,"Saham Produsen Toilet Tiba-Tiba Melonjak, Ternyata Gegara AI",NEGATIF
328,"Wow! BRI Cetak Laba Rp 51,4 Triliun, Melesat 67% Pada 2022",POSITIF
329,Polisi: Insiden Lift Gedung BRI II Masih Dalam Penyelidikan,NEGATIF
330,"Ditopang UMKM Laba BRI Tembus Rp 32,4 Triliun",POSITIF
331,Ini Sektor Saham yang Berpotensi Diuntungkan Saat Imlek dan Ramadan,NEGATIF
332,Top! BRI Catatkan Sejumlah Aksi Korporasi Penting,POSITIF
333,Korsleting Genset Picu Kebakaran Kantor Bank BRI di Medan,NEGATIF
334,BANK BRI Siapkan Banyak Hadiah Menarik Lewat Program Redeem BRI Point,POSITIF
335,Penggelapan 59 Kg Emas Seret Nama 3 Pejabat BRI,NEGATIF
336,Polisi Segera Sebar Sketsa Perampok BRI RS Sardjito Yogyakarta,NEGATIF
337,Proses Reversal Transaksi Debit BRI Mengecewakan,NEGATIF
338,"Terdampak Covid-19, Restrukturisasi 125 Ribu Debitur KUR Disetujui BRI",POSITIF
339,"Dugaan Data Bocor, Kominfo Sudah Panggil Direksi BRI Life",NEGATIF
340,"Virtual Coaching, Cara BRI Bina Pelaku UMKM Saat Pandemi Covid-19",POSITIF
341,Lift di Gedung BRI Tower Jatuh dari Lantai Tiga,NEGATIF
342,Riset BRIN Catat 99% Nasabah Puas dengan Layanan KUR BRI,POSITIF
343,"Geledah Kantor Pusat DSI 16 Jam, Bareskrim Polri Sita Barang Bukti Ini",NETRAL
344,"Rupiah Jisdor Melemah 0,21% ke Rp 16.934 per Dolar AS pada Jumat (13/3/2026)",NETRAL
345,"Di Ajang BRImo Future Garuda, BRI Serahkan Bantuan Pendidikan Bagi 50 Anak Sepak Bola Berbakat",POSITIF
346,"BRI, Mandiri dan BNI Dipilih Salurkan 76,9 Triliun Tunjangan Profesi Guru",POSITIF
347,Satpam BRI Bobol Brankas dan Kuras Rp 1 Miliar Lebih,NEGATIF
348,"Maintenance System, Akses BRImo Normal Pukul 12.00 WIB",NETRAL
349,"Di Bawah Danantara, Saham BUMN Dinilai Menarik lewat Valuasi dan Yield Dividen",NETRAL
350,Simak Prospek Saham yang Kena Rebalancing MSCI Indonesia Periode Maret 2026,NETRAL
351,BRI Imbau Nasabah Waspadai Penipuan Link Undangan Nikah Digital,NETRAL
352,"Fokus Penyelamatan UMKM, Bisnis BRI Tetap Tumbuh di Tengah Pandemi",POSITIF
353,Perampok Berpistol Todong Teller Bank BRI di Tangerang,NEGATIF
354,"Saham Folago (IRSX) Melejit Sentuh ARA Terpantik Rencana Rights Issue Rp3,71 Triliun",NETRAL
355,Satelit BRIsat Berikan Keuntungan Besar dalam Layanan Perbankan,POSITIF
356,Pohon di Depan BRI Jalan Sudirman Tumbang,NEGATIF
357,"Jadi Komisaris BRI, Gus Ipul Tetap Lirik Gubernur Jatim",NETRAL
358,"Perampok BRI Itu Ternyata Sedang Galau, Belajar Rakit Bom di Youtube",NEGATIF
359,"Saham BBRI Sentuh Posisi Tertinggi Rp 4.860, Transaksi Rp 1,6 Triliun",POSITIF
360,BRI Kembali Luncurkan Aplikasi Jalur Mudik,POSITIF
361,Polisi Tangkap 8 Anggota Geng Motor Pembunuh Satpam BRI Syariah,NEGATIF
362,"Austindo Nusantara Jaya (ANJT) Beri Penjelasan ke Bursa Soal Kredit Rp 4,84 Triliun",NETRAL
363,BRI Dinobatkan Jadi Best of The Best BUMN oleh Markplus.INC,POSITIF
364,Liburan di Singapura Makin Seru Dengan Budget Hemat Bersama Kartu BRI Mastercard,POSITIF
365,Video: Racikan Investasi MI Prospek Cuan Hadapi Efek Perang Iran Vs AS,NEGATIF
366,"BRI Tebar Dividen Interim Rp 8,63 Triliun, Cek Jadwalnya!",NETRAL
367,"Kasus Kredit Macet, Kejaksaan Tahan Stafsus BRI",NEGATIF
368,"Gara-gara Tak Dipasok Listrik, BRI Terpaksa Offline",NEGATIF
369,"Perluas Basis Konsumen, Indodax Jalin Kerjasama dengan KFC Indonesia",NETRAL
370,BRI Cianjur Bertanggung Jawab Atas Laporan Nasabah Korban Skimming,POSITIF
371,Menguji Tuah 8 Reformasi Pasar Modal OJK Memulihkan Kepercayaan Investor,NETRAL
372,"Laba Astra Otoparts (AUTO) Naik 17,6%, Maybank Pasang Jadi Top Pick Sektor Otomotif",NEGATIF
373,Kartu Perpanjangan Kartu Kredit BRI belum Diterima,NEGATIF
374,BRI Raih Penghargaan Sebagai The Best Bank in Digital Service,POSITIF
375,"Daftar 10 Buku Rekomendasi Warren Buffet, Investor Wajib Baca",NEGATIF
376,"BRI Makassar Gagalkan Skimming, Pelaku Ambil Langkah Seribu",NEGATIF
377,"Harga Kripto Berfluktuasi, Prospek Industri Kripto di Indonesia Tetap Kuat",NETRAL
378,"Duit Warga RI Dimaling Rp 9,1 Triliun, Setiap Hari 1.000 Orang Teriak",POSITIF
379,PAN: Jangan Sampai Penunjukan Politikus di BRI Lunturkan Kepercayaan Rakyat,NEGATIF
380,"MBG Jadi Katalis Pendorong Kinerja Japfa (JPFA), Cek Rekomendasi Sahamnya",NETRAL
381,Korlantas & BRI Bagikan 1000 Paket Sembako ke Tukang Becak di Kemayoran,POSITIF
382,"Produksi Diprediksi Tumbuh, Begini Rekomendasi Saham MDKA, MBMA, dan EMAS",NETRAL
383,"BRI: Karyawan Huawei yang Dikabarkan Kena Corona, Sakit Radang Tenggorokan",NETRAL
384,"Penjualan ORI029 Terserap 57,9%, Minat Investor Ritel SBN Lesu",NETRAL
385,Deretan Prestasi di Sektor Digital Banking yang Diraih BRI sepanjang 2021,POSITIF
386,"Punya Konsep Terbaik, Begini Cara BRI Kembangkan SDM",POSITIF
387,"Pandemi, Aset BRI Tetap Tumbuh 7,73 Persen di Semester I-2020",POSITIF
388,"Konflik AS-Iran Picu Risk-Off, Analis Sarankan Cermati Saham-Saham Ini",NETRAL
389,"Lagi, BRI Raih 2 Penghargaan Internasional untuk Inovasi Layanan Nasabah di Ajang Asia Trailblazer Awards 2023",POSITIF
390,Adi Sarana Armada (ASSA) Tambah Modal Rp 54 Miliar ke Adi Sarana Properti,NETRAL
391,"Pria Miskin Balas Dendam Jadi Raja Laut, Punya Emas Rp 2 Triliun",POSITIF
392,AS Nomor 2! Ternyata RI Paling Banyak Ngutang ke Negara Ini,NETRAL
393,"Sentuh Grassroot, Kredit Mikro BRI Tembus Rp 551,26 T",POSITIF
394,"Kapitalisasi Pasar Saham BRI Sentuh Rp 639,58 Triliun, Terbesar Sepanjang Sejarah",POSITIF
395,Awas! Ekonom Ungkap 4 Risiko yang Bisa Guncang Ekonomi RI,POSITIF
396,"Singgung Kapitalisasi Pasar Saham, Rosan: Harus Murni dari Pembentukan Harga Pasar",NEGATIF
397,"Warga Mojokerto Tertipu Orang Ngaku Karyawan BRI, Rp 65 juta raib",NEGATIF
398,Danantara Siap Jadi Peserta Aktif di Bursa Saham RI,NEGATIF
399,"Kebakaran di Gedung Sentra BRI Padam, Penyebab Korsleting Listrik",NEGATIF
400,Pembunuh Karyawan BRI Syariah Medan Desertir Polisi dan Istrinya,NEGATIF
401,"Gandeng Narasi-Kitabisa.com, BRI Salurkan Donasi Rp 350 Juta ke UMKM",POSITIF
402,"Wacana Pembatasan Ritel Modern Tak Goyahkan Prospek AMRT, Cek Rekomendasinya",NETRAL
403,"5 Perusahaan RI Diakuisisi Singapura, Ini Namanya",NEGATIF
404,Pembuat Iklan KPR BRI Bayar ke Gedung Joang,NEGATIF
405,"Kredit Tumbuh 11,2 Persen, NPL BRI Terjaga Di Level 2,46 Persen",POSITIF
406,BRI Beberkan 4 Skema Relaksasi Bagi UMKM Terdampak Covid-19,POSITIF
407,Klaim Pendebetan BRI Belum Ada Solusi,NEGATIF
408,BRI Yakin Alipay Dapat Izin Operasi di Indonesia Tahun Ini,POSITIF
409,"Rekomendasi Saham dan Pergerakan IHSG Hari Ini, Senin 23 Februari 2026",NETRAL
410,"Ada Rencana Pengurangan Produksi, Harga Nikel Diproyeksi Terus Meningkat",NETRAL
411,Jangan Asal Klik! Simak Imbauan Polri dan BRI Agar Terhindar dari Penipuan Online,NEGATIF
412,"Wow, 2 Talent BRI Eksis di UN World Innovation Day Hack 2022",POSITIF
413,"Intip Usaha Ketiga Pemenang Pengusaha Muda BRILiaN 2020, Apa Saja?",NETRAL
414,Mantap! Kinerja Impresif BRI Diperkirakan Berlanjut di 2023,POSITIF
415,"Dear UMKM, Ini Syarat dan Ketentuan Ajukan KUR BRI 2023",NETRAL
416,BEI Disarankan Buka Data 20 Pemegang Saham Terbesar di tiap Emiten,NETRAL
417,"Yuk, Intip Potensi UMKM di BRI Microfinance Outlook 2023",NETRAL
418,Terdakwa Dugaan Korupsi BRI Dijemput Paksa dari RS ke Pengadilan Tipikor,NEGATIF
419,BRI Jadi Bank Teraktif dalam Meningkatkan Literasi Keuangan,POSITIF
420,"Hadirkan Fitur e-SBN, Investasi Makin Mudah Pakai BRImo",POSITIF
421,"BRI Offline, Nasabah Repot",NEGATIF
422,"Kapal Express Bahari Terbakar, 7 Brankas BRI dan Senjata Polisi Ikut Raib",NEGATIF
423,"Indeks Bisnis-27 Ditutup Melemah, Saham MEDC hingga BUMI ke Zona Merah",NETRAL
424,"Saham Big Banks: BMRI Menguat, BBCA, BBRI, dan BBNI Melemah Kamis (26/2)",NETRAL
425,"Trimitra Trans (BLOG) Raup Pendapatan Rp1,33 Triliun pada 2025, Laba Bersih Naik 29%",NETRAL
426,"Top, Saham BBRI Sentuh Rekor Tertinggi di 5.000-an",POSITIF
427,Banjir Barang Ilegal dari China Bikin Kredit Macet UMKM Makin Buruk,POSITIF
428,BRI Sabet Penghargaan Internasional Best Priority Banking,POSITIF
429,Kala Kejayaan Raja Ritel RI Runtuh Jatuh ke Tangan Keluarga Riady,NEGATIF
430,BRI Menanam Diproyeksi Serap 108 Ribu Ton CO2,POSITIF
431,Polres Medan Tahan Oknum Polisi Penembak Office Boy BRI di Medan,NEGATIF
432,Optimalisasi Aset dan Layanan Kompleks Jadi Kunci Prospek Bundamedik (BMHS),NETRAL
433,"Lewat Manajer Investasi, Ini Anggaran Danantara Untuk Suntik Dana ke Pasar Modal",NETRAL
434,Huawei Jelaskan Karyawan dari China di Gedung BRI 2 Diduga Kena Corona,NEGATIF
435,"Harga Logam Mulia Menguat di Awal 2026, Didukung Spekulasi Pemangkasan Suku Bunga",NETRAL
436,Laba Bersih BRI Agro Tumbuh 160 Persen,POSITIF
437,"Pemerintah Norwegia jadi Pemegang Saham 21 Emiten RI dari AKRA, CTRA, hingga WIFI",NETRAL
438,Kejagung Tangkap Buronan Interpol Pembobol BRI Senilai Rp 249 M,NEGATIF
439,Pelaku Pembakaran ATM BRI Bisa Dijerat UU Terorisme,NEGATIF
440,BBRI Jadi Saham Big Cap Keuangan Terbaik 2022,POSITIF
441,Inovasi Layanan Nasabah BRI Raih Penghargaan Internasional,POSITIF
442,Analis Ungkap Biang Kerok IHSG Kian Melorot Dekati Level 7.000,NETRAL
443,Bank BRI dan Kemenpar Gelar Pesona Mudik 2018 Bareng Para Artis,POSITIF
444,"BRI Bagi Dividen Jumbo, Segini Porsi Pemerintah RI",POSITIF
445,Mantan Karyawan Vendor ini Bobol Mesin ATM BRI di Pemalang,NEGATIF
446,"Ikut Anjuran Nabi, Pria Amerika Jadi Kaya Raya Berharta Rp 208 Triliun",NEGATIF
447,"Lokomotif Pertumbuhan Ekonomi RI 2026: Fiskal, Moneter dan Danantara",NEGATIF
448,6 Proyek Hilirisasi Danantara Rp 110 T Ciptakan 3.000 Lapangan Kerja,NEGATIF
449,Polisi Bentuk Tim Khusus Usut Perampokan ATM BRI di Bekasi,NEGATIF
450,BRI Agro Gandeng Capital Life Indonesia Pasarkan Asuransi Proteksi,NETRAL
451,Video: Nasib Bisnis Sewa Properti BUMN Hadapi Gejolak 2026,NEGATIF
452,BRI Kembali Gelar Program Desa BRILian Batch III 2022,NETRAL
453,Pembobol BRI Divonis 15 Tahun,NEGATIF
454,Bisnis Wealth Management BRI Melesat di Tengah Pandemi,POSITIF
455,"Rating CSA Melesat di 2022, Penerapan ESG BRI Terus Meningkat",POSITIF
456,"Mundur dari Ketua OJK, Ini Perjalanan Panjang Karir Mahendra Siregar",NETRAL
457,"Lima Orang Ini Kuasai Batu Bara RI, Duit Tak Berseri",NETRAL
458,BRI Tawarkan Obligasi Berwawasan Lingkungan Rp 5 Triliun untuk Tahap I 2022,NETRAL
459,"Jadikan Ibu Kota Baru Hijau, BRI Tanam Pohon Langka Borneo",POSITIF
460,Ini Isi Bom Palsu Perampok Kantor BRI RSUP dr Sardjito Yogya,NEGATIF
461,"Perkuat Ekonomi Riil, BRI Fokus Transformasi Digital",POSITIF
462,"Market Leader ESG, Kredit Berkelanjutan BRI Tembus Rp 694,9 T",POSITIF
463,Ini Penjelasan BRI Life Surabaya Saat Shakila Diculik,NEGATIF
464,"Diduga Tilep Rp 700 juta, Teller BRI Masuk Bui",NEGATIF
465,"Siapkan 6 Strategi Bisnis 2026, Begini Rekomendasi Saham MPX Logistics (MPXL)",NETRAL
466,"Ritel ""Getol"" Trading, Mandiri Sekuritas Incar 2 Juta Investor di 2026",NEGATIF
467,Pencuri Gasak ATM BRI di Medan,NEGATIF
468,"Uang Nasabah Hilang Misterius, Ini Kata BRI",NEGATIF
469,"Kinerja Moncer, Agen BRILink Raup Fee Based Income Rp 702,7 M",POSITIF
470,"IHSG Cetak Rekor 9.000 di Era Prabowo, Analis Bilang Begini",NEGATIF
471,"Hilangkan 59 Kg Emas, Eksepsi Pegawai BRI Ditolak Jaksa",NEGATIF
472,"IHSG Berpotensi Pullback pada Rabu (21/1), Ini Kata Analis",NETRAL
473,"Jutaan Data Nasabah BRI Diduga Bocor, Kemenkominfo Lakukan Investigasi",NEGATIF
474,"Asing Net Buy Jumbo Rp 1,99 Triliun, Cek Saham yang Banyak Diborong, Selasa (13/1)",NETRAL
475,"Harga Aluminium Melesat, Begini Efeknya Bagi Emiten Sektor Tersebut",NETRAL
476,"ART Pakai Gaji untuk Beli Saham, Hasilnya Bikin Geleng-Geleng",NEGATIF
477,"Hari Ini THR Dividen BRI Cair, Nilainya Bikin Senyum",POSITIF
478,"Kejagung Tetapkan Samin Tan Tersangka, Ini Kasus yang Menjeratnya",NETRAL
479,"Mau Pangkas 1.043 BUMN Jadi 300, Danantara Pastikan Tanpa PHK",POSITIF
480,"Pertama di Indonesia, BRI Raih ISO/IEC/IEEE 29119:2022",POSITIF
481,FWD Group Suntik Modal ke BRI Life,POSITIF
482,"Catat Realisasi Tertinggi, BRI Telah Salurkan 50% KUR Perumahan",NEGATIF
483,Polri Gaet BRI Gagas Program Keselamatan Pengemudi Terdampak Covid-19,POSITIF
484,Pembobol BRI Senen Dituntut 20 Tahun Penjara,NEGATIF
485,"IHSG Masih Bisa Kembali Turun ke Bawah Level 7.000, Ini Saran Analis",NETRAL
486,"Cetak Insan Unggul, BRILiaN Future Leader Program Dibuka",NETRAL
487,Raibnya Uang Rp 87 Juta di Rekening Nasabah BRI yang Masih Misterius,NEGATIF
488,Isi Pulsa dengan Mobile BRI Makin Banyak Untungnya!,POSITIF
489,"KIOS WARGA, Sinergi Taspen dan BRI Tingkatkan Kesejahteraan ASN",POSITIF
490,Profesor Harvard Ungkap Peran BRI Jadi Bank yang Kuat di UMKM,POSITIF
491,KUR BRI Menjangkau Pengusaha UMKM di Perbatasan,POSITIF
492,"Musim Dingin Dongkrak Harga Gas Alam, Batubara Masih Bergerak Terbatas",NETRAL
493,"Khusus Nasabah BRI, Mudik Lebih Mudah dengan Aplikasi Jalur Mudik",POSITIF
494,"VIDEO: BRImo Colorful Run 2022, 5.000 Pelari Ikut Berpartisipasi",NETRAL
495,Target Harga Terbaru dan Ramalan Kinerja Medco Energi (MEDC),NETRAL
496,Mau Punya Indomaret Sendiri? Siapkan Duit Segini Buat Modal,NETRAL
497,Entitas Anak Usaha SSIA Genjot Penjualan Sisa Lahan Industri 10 Ha,NETRAL
498,OJK: Tingkat Pemenuhan Data Investor Jadi 28 Klasifikasi Capai 82%,NEGATIF
499,"IHSG Masih Sideways Melemah, Analis Soroti Peluang di Sektor Komoditas",NETRAL
500,"Kisah Stanley Druckenmiller, Investor Kaya Penakluk Bank of England",NEGATIF
501,"Jadi Lead Financial Advisory, BRI Danareksa Sekuritas Bukukan Transaksi Rp 100 Triliun Sepanjang 2022",POSITIF
502,"Lompatan Saham Konglomerat Prajogo, Aguan Cs Dalam Sepekan Usai Bertemu Prabowo",NETRAL
503,"Wall Street Dibuka Memerah Senin (2/3), Pasar Cemas Konflik Timur Tengah Berlarut",NETRAL
504,"Mudahkan Investasi, BRI Hadirkan Fitur Pembelian SBN di BRImo",POSITIF
505,UMKM Terpilih Brilianpreneur 2022 Bakal Mejeng di G20,POSITIF
506,Misteri 57 Ton Emas Soekarno di Bank Swiss Akhirnya Terungkap,POSITIF
507,"Sentimen Risk-On Dorong Rupiah Menguat, Ini Proyeksi Pekan Depan",NETRAL
508,"IHSG Berpeluang Menguat Terbatas Rabu (11/2/2026), Simak Rekomendasi Saham Berikut",NETRAL
509,"Dukung Digitalisasi Keuangan Daerah, BRI Kini Terkoneksi SIPD",POSITIF
510,"Cek Rekomendasi Teknikal Saham JSMR, CPIN, ASII untuk Jumat (6/2)",NETRAL
511,"BRI Syariah Cipulir Dirampok, 1 Nyawa Melayang",NEGATIF
512,Trisula Textile (BELL) Ungkap Penyebab Harga Sahamnya Melonjak Ratusan Persen,NETRAL
513,"Profil Awan Nurmawan Nuh, Irjen Kemenkeu yang Diangkat Jadi Komisaris BRI",NETRAL
514,BRI Sediakan Layanan Penukaran Uang di 391 Kantor Cabang,NETRAL
515,"Video: Harga Emas Meroket, Nasabah BSI Naik & Transaksi Tembus 1 Juta",NETRAL
516,BRI Investigasi Dugaan Karyawan Huawei yang Terjangkit Virus Corona di Gedung BRI 2,NEGATIF
517,Jurus BRI Genjot Laba Usai Caplok PNM dan Pegadaian,POSITIF
518,"Peduli Lingkungan, BRI Benahi Ekosistem di Gunung Semeru",POSITIF
519,"IHSG Sesi II Ditutup Melemah 0,37%, Turun ke Level 7.362",NETRAL
520,Isu Independensi Bank Indonesia dan Risiko APBN Bikin Rupiah Masih Rapuh,NETRAL
521,BRI Pertahankan Gelar Bank Terbaik 2015 Versi The Bankers,POSITIF
522,"Teller BRI di Makassar Gelapkan Uang Nasabah Hingga Rp 2,3 Miliar",NEGATIF
523,Ini Dia Modus Jaksa DSW Saat Memeras Pegawai BRI,NEGATIF
524,"Harga Emas Spot Anjlok Lebih dari 4%, Tren Penurunan Masih Akan Berlanjut",NETRAL
525,"Manjakan ASN dan Pensiunan ke Karier Kedua, Ini Kolaborasi BRI-Taspen",POSITIF
526,OJK Denda Dana Mitra Kencana Cs Usai Manipulasi Saham IMPC Rp92 Miliar,NETRAL
527,Nusron Wahid Cabut HGU Raksasa Gula Lampung di Tanah Kemhan,NETRAL
528,BRI Tingkatkan Keamanan Dana Nasabah,POSITIF
529,"OJK Lantik 13 Pejabat Baru, Ini Daftar Lengkapnya",NEGATIF
530,"Warga RI Jadi Korban Scam Makin Banyak, OJK Gandeng Bareskrim Polri",NETRAL
531,Purbaya soal Wacana Demutualisasi BEI: Bereskan Dulu 'Tukang Goreng' Saham,NETRAL
532,Wall Street Menghijau Rabu (28/1): S&P 500 Tembus Level 7.000 untuk Pertama Kalinya,NETRAL
533,"Indeks Bisnis-27 Ditutup Menguat Terdorong Saham ADMR, MYOR, INCO & BUMI",NETRAL
534,"Insan BRILian Galang Dana hingga Rp 1,5 M buat Perangi Covid-19",POSITIF
535,Bupati Banyuwangi dan Dirut BRI Kolaborasi Garap Startup Pertanian,POSITIF
536,Pasar Pembiayaan Segmen Unbankable Bakal Luas Berkat Rights Issue BRI,POSITIF
537,Investasi Ini Diramal Cuan di Tahun Kuda Api,NETRAL
538,"Kepala BRI di Pematangsiantar Bobol Dana Rp 2,9 M dari Brankas",NEGATIF
539,"5 Ciri Utama Golongan Warga Kelas Bawah, Ada di Kamu?",NEGATIF
540,"Gokil! Setoran BRI ke Negara Capai Rp 136,5 T Selama 5 Tahun",POSITIF
541,"Kembangkan UMKM , BRI Luncurkan BRIncubator",POSITIF
542,"Altcoin Bergerak Selektif, Pasar Tunggu Arah Jelas Bitcoin dan Sentimen AI",NETRAL
543,"BBCA dan BRPT Tertatas, Simak Saham Net Sell Terbesar Asing, Selasa (20/1)",NETRAL
544,"Jokowi Desak Persyaratan KUR Dipermudah, BRI Beri Jawaban",NETRAL
545,"Saham Emiten Grup Astra ASII, UNTR, AALI Rebound Sesi I Perdagangan Kamis (22/1)",NETRAL
546,BRI Targetkan Migrasi Kartu Chip Rampung Tahun Depan,NETRAL
547,"IHSG Ambles 4 Hari Berturut-turut, Cek Saham Net Sell Terbesar Asing di Awal Pekan",NETRAL
548,"Optimis Hadapi 2023, BRI Makin Gencar Ekspansi",POSITIF
549,Mantap! Bos BRI Sabet Leadership Excellence Award 2022,POSITIF
550,"Pasar Properti Tumbuh, Sinar Mas Land Bidik Prapenjualan Rp10 T",NETRAL
551,"Menanti Rapat FOMC, Begini Proyeksi Rupiah Rabu (28/1)",NETRAL
552,"Fluktuasi Pasar Masih Tinggi, OJK Lanjutkan Kebijakan Buyback Tanpa RUPS",NETRAL
553,"S&P Global Beri Peringatan Risiko Kredit Indonesia, Cek Dampaknya ke IHSG",NETRAL
554,Pengamanan BRI Cabang Amplas tidak Sesuai Prosedur,NEGATIF
555,"Free Float Naik ke 15%, OJK Andalkan Investor Institusional Domestik",NETRAL
556,"Kena Dampak Covid-19, Petani Diberdayakan BRI Lewat TaniGroup",NETRAL
557,"7.000 Orang Ikut Mudik Bersama BRI, di Antaranya TKI Arab hingga Korsel",POSITIF
558,Perempuan Ini Acungkan Belati di Kantor Teras BRI Sukabumi,NEGATIF
559,"IHSG Melaju Pelan, Investor Wait and See Tunggu Tuah Reformasi OJK-BEI",NETRAL
560,"Hilangkan Emas 59 Kg, Dua Pegawai BRI Terancam 15 Tahun Penjara",NEGATIF
561,"Pengguna BRImo Capai 11,7 Juta Orang hingga Juli 2021",POSITIF
562,"Isu Saham Gorengan Jadi Sorotan, Ini Risikonya dan Cara Mengantisipasi",NETRAL
563,Simak Prospek SGRO Usai Berganti Nama Jadi Prime Agri Resources Pasca Akuisisi,NETRAL
564,Transaksi E-Commerce Lebih Nyaman dan Aman dengan Kartu Kredit BRI,POSITIF
565,Sstt...Bos BRI Kasih Proyeksi Soal Laba dan Dividen Jumbo,POSITIF
566,"BRI Akselerasi Pelaku Usaha UMKM Muda, Lewat Pengusaha Muda Brilian",POSITIF
567,BRI Beri Apresiasi ke Desa Penggerak Ekonomi,NETRAL
568,BRI Raih Penghargaan Sebagai BUMN yang Inklusif Terhadap TKPD,POSITIF
569,"IHSG Ambruk 3,05% ke 7.137, Cermati Saham Net Sell Terbesar Asing di Akhir Pekan",NETRAL
570,"Korban Warga Bogor, Sedang Ikut Pelatihan BRI",NETRAL
571,"Tilap Rp 2,3 Miliar, Rika Teller BRI Baru Kembalikan Rp 200 Juta",NEGATIF
572,"Sah! Warren Buffett Resmi Lengser, 60 Tahun Cuan 6 Juta Persen",NETRAL
573,"Pemerintah Tata Pasar Modal RI, Praktik Saham Gorengan Bakal Disikat",POSITIF
574,"Rights Issue, BRI Sudah Raih Dana Rp 41 Triliun dari Publik",POSITIF
575,BRI Cetak Sejarah Rights Issue Terbesar di Asia Tenggara,POSITIF
576,9 Mobil Damkar Padamkan Kebakaran di Basement Gedung BRI II,NEGATIF
577,"51 Kg Emas Batangan Palsu, BRI Kebobolan Rp 15 Miliar",NEGATIF
578,BRI Siap Salurkan KUR Rp 12 Triliun di Maret 2023,NETRAL
579,Ini Alasan Mirae Asset Sekuritas Belum Revisi Target IHSG di Level 10.500,NETRAL
580,"Bank BRI di Kabupaten Badung Dirampok, Rp 295 Juta Amblas",NEGATIF
581,Rotasi Saham Blue Chip dan Komoditas Dorong Kinerja Reksadana di Awal Tahun,NETRAL
582,"Jaringan RS Terus Bertambah, Kinerja MIKA Diproyeksi Solid pada 2026",NETRAL
